"filename", "language", "Dockerfile", "Properties", "Shell Script", "Markdown", "YAML", "Ini", "C++", "C", "Python", "Protocol Buffers", "JSON", "Diff", "Go", "Makefile", "Lua", "comment", "blank", "total"
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\tasks\include\install_with_source_code.yml", "YAML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 45
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\tasks\include\install_with_yum_apt.yml", "YAML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 33
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\tasks\main.yml", "YAML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 27
"c:\FILES\CURVE\curve\curve-ansible\roles\install_package\vars\main.yml", "YAML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 23
"c:\FILES\CURVE\curve\curve-ansible\roles\restart_service\tasks\include\get_nebd_port.yml", "YAML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 23
"c:\FILES\CURVE\curve\curve-ansible\roles\restart_service\tasks\include\restart_by_daemon.yml", "YAML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 43
"c:\FILES\CURVE\curve\curve-ansible\roles\restart_service\tasks\include\restart_chunkserver.yml", "YAML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 23
"c:\FILES\CURVE\curve\curve-ansible\roles\restart_service\tasks\include\restart_etcd.yml", "YAML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 25
"c:\FILES\CURVE\curve\curve-ansible\roles\restart_service\tasks\include\restart_mds.yml", "YAML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 4, 38
"c:\FILES\CURVE\curve\curve-ansible\roles\restart_service\tasks\include\restart_nebd.yml", "YAML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 48
"c:\FILES\CURVE\curve\curve-ansible\roles\restart_service\tasks\include\restart_one_chunkserver.yml", "YAML", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 55
"c:\FILES\CURVE\curve\curve-ansible\roles\restart_service\tasks\include\restart_snapshotclone.yml", "YAML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 4, 38
"c:\FILES\CURVE\curve\curve-ansible\roles\restart_service\tasks\include\set_nebd_port.yml", "YAML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 27
"c:\FILES\CURVE\curve\curve-ansible\roles\restart_service\tasks\main.yml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 21
"c:\FILES\CURVE\curve\curve-ansible\roles\restart_service\vars\main.yml", "YAML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 27
"c:\FILES\CURVE\curve\curve-ansible\roles\set_leader_and_follower_list\tasks\include\get_all_ip.yml", "YAML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 26
"c:\FILES\CURVE\curve\curve-ansible\roles\set_leader_and_follower_list\tasks\include\get_etcd_leader_ip.yml", "YAML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 28
"c:\FILES\CURVE\curve\curve-ansible\roles\set_leader_and_follower_list\tasks\include\get_mds_leader_ip.yml", "YAML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 28
"c:\FILES\CURVE\curve\curve-ansible\roles\set_leader_and_follower_list\tasks\include\get_snapshot_leader_ip.yml", "YAML", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 28
"c:\FILES\CURVE\curve\curve-ansible\roles\set_leader_and_follower_list\tasks\main.yml", "YAML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 46
"c:\FILES\CURVE\curve\curve-ansible\roles\set_leader_and_follower_list\vars\main.yml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\FILES\CURVE\curve\curve-ansible\roles\start_service\tasks\include\start_by_daemon.yml", "YAML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 30
"c:\FILES\CURVE\curve\curve-ansible\roles\start_service\tasks\include\start_chunkserver.yml", "YAML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 5, 42
"c:\FILES\CURVE\curve\curve-ansible\roles\start_service\tasks\include\start_etcd.yml", "YAML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 24
"c:\FILES\CURVE\curve\curve-ansible\roles\start_service\tasks\include\start_mds.yml", "YAML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 24
"c:\FILES\CURVE\curve\curve-ansible\roles\start_service\tasks\include\start_nebd.yml", "YAML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 25
"c:\FILES\CURVE\curve\curve-ansible\roles\start_service\tasks\include\start_snapshotcloneserver.yml", "YAML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 1, 23
"c:\FILES\CURVE\curve\curve-ansible\roles\start_service\tasks\include\start_snapshotcloneserver_nginx.yml", "YAML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 30
"c:\FILES\CURVE\curve\curve-ansible\roles\start_service\tasks\main.yml", "YAML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 21
"c:\FILES\CURVE\curve\curve-ansible\roles\start_service\vars\main.yml", "YAML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 19
"c:\FILES\CURVE\curve\curve-ansible\rolling_update_chunkserver.yml", "YAML", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 7, 69
